MutationType	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID14	ID17	ID19
2:Ins:R:0	0.00040204	0.00033185	0.00263595	0.00049292	0.00634945	0.00199839	0.00191671	0.02394226	0.03437941	0.07827026
2:Ins:R:1	0.00000788	0.00027166	0.00224268	0.00055330	0.01838764	0.00020853	0.00166182	0.00012377	0.05850865	0.02359708
2:Ins:R:2	0.00022135	0.00103534	0.00095560	0.00026633	0.00720795	0.00079041	0.00030459	0.00111420	0.06369419	0.00363960
2:Ins:R:3	0.00051427	0.00038133	0.00089724	0.00013779	0.00117229	0.00049907	0.00017758	0.00087148	0.00976271	0.00118317
2:Ins:R:4	0.00291310	0.00197742	0.00025309	0.00007190	0.00006880	0.00018947	0.00001660	0.00297398	0.00000000	0.00380259
2:Ins:R:5	0.01812158	0.01363338	0.00000667	0.00010369	0.00099412	0.00074864	0.00176438	0.00054427	0.00000005	0.03327522
3:Ins:R:0	0.00000031	0.00005780	0.00009600	0.00002630	0.00379248	0.00121919	0.00066786	0.00662350	0.01958314	0.05448195
3:Ins:R:1	0.00025469	0.00122705	0.00028614	0.00045098	0.00612276	0.00028861	0.00067172	0.00252320	0.11227327	0.00510145
3:Ins:R:2	0.00004410	0.00021007	0.00009750	0.00060034	0.00114347	0.00074653	0.00013577	0.00020450	0.03887448	0.00126260
3:Ins:R:3	0.00016670	0.00000302	0.00001360	0.00007420	0.00001020	0.00024974	0.00003790	0.00032749	0.00000001	0.00056696
3:Ins:R:4	0.00008890	0.00014181	0.00000156	0.00007400	0.00001180	0.00015595	0.00012204	0.00060186	0.00000003	0.00020118
3:Ins:R:5	0.00124870	0.00186471	0.00000000	0.00003960	0.00010257	0.00001980	0.00003660	0.00220600	0.00000003	0.00101487
4:Ins:R:0	0.00000000	0.00001680	0.00000000	0.00016664	0.00243919	0.00146792	0.00077776	0.00594693	0.01469245	0.04975165
4:Ins:R:1	0.00074438	0.00120373	0.00017598	0.00126643	0.00361230	0.00047628	0.00110390	0.00132693	0.21024511	0.00147968
4:Ins:R:2	0.00007550	0.00001220	0.00002740	0.00009840	0.00037646	0.00052866	0.00007990	0.00008450	0.00974910	0.00101738
4:Ins:R:3	0.00015754	0.00013417	0.00004770	0.00005250	0.00000187	0.00033482	0.00000858	0.00071385	0.00000002	0.00030994
4:Ins:R:4	0.00031965	0.00024939	0.00000418	0.00014691	0.00000641	0.00005600	0.00020551	0.00166501	0.00000001	0.00152857
4:Ins:R:5	0.00100132	0.00219354	0.00003290	0.00013521	0.00063598	0.00010686	0.00088523	0.00027445	0.00000001	0.00000012
5:Ins:R:0	0.00000000	0.00000000	0.00008830	0.00008580	0.00475007	0.00871678	0.00031833	0.00271214	0.01467388	0.33665180
5:Ins:R:1	0.00144313	0.00013566	0.00065622	0.00213585	0.00479343	0.00540564	0.00976111	0.02645553	0.00491953	0.00843231
