MutationType	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID13	ID14	ID19	ID25
2:Ins:R:2	0.00022135	0.00103534	0.00095560	0.00026633	0.00720795	0.00079041	0.00030459	0.00076094	0.00068852	0.00111420	0.00363960	0.00064392
2:Ins:R:3	0.00051427	0.00038133	0.00089724	0.00013779	0.00117229	0.00049907	0.00017758	0.00035163	0.00074354	0.00087148	0.00118317	0.00035493
2:Ins:R:4	0.00291310	0.00197742	0.00025309	0.00007190	0.00006880	0.00018947	0.00001660	0.00003070	0.00021335	0.00297398	0.00380259	0.00088684
2:Ins:R:5	0.01812158	0.01363338	0.00000667	0.00010369	0.00099412	0.00074864	0.00176438	0.00000000	0.00084658	0.00054427	0.03327522	0.01049181
3:Ins:R:0	0.00000031	0.00005780	0.00009600	0.00002630	0.00379248	0.00121919	0.00066786	0.00025457	0.00008210	0.00662350	0.05448195	0.00382815
3:Ins:R:1	0.00025469	0.00122705	0.00028614	0.00045098	0.00612276	0.00028861	0.00067172	0.00082336	0.00368833	0.00252320	0.00510145	0.00028760
3:Ins:R:2	0.00004410	0.00021007	0.00009750	0.00060034	0.00114347	0.00074653	0.00013577	0.00011826	0.00020251	0.00020450	0.00126260	0.00059532
3:Ins:R:3	0.00016670	0.00000302	0.00001360	0.00007420	0.00001020	0.00024974	0.00003790	0.00000518	0.00002370	0.00032749	0.00056696	0.00017021
3:Ins:R:4	0.00008890	0.00014181	0.00000156	0.00007400	0.00001180	0.00015595	0.00012204	0.00001610	0.00000349	0.00060186	0.00020118	0.00011381
3:Ins:R:5	0.00124870	0.00186471	0.00000000	0.00003960	0.00010257	0.00001980	0.00003660	0.00000000	0.00003540	0.00220600	0.00101487	0.00253638
4:Ins:R:0	0.00000000	0.00001680	0.00000000	0.00016664	0.00243919	0.00146792	0.00077776	0.00016439	0.00111880	0.00594693	0.04975165	0.00309713
4:Ins:R:1	0.00074438	0.00120373	0.00017598	0.00126643	0.00361230	0.00047628	0.00110390	0.00071557	0.00269163	0.00132693	0.00147968	0.00213109
4:Ins:R:2	0.00007550	0.00001220	0.00002740	0.00009840	0.00037646	0.00052866	0.00007990	0.00004240	0.00006930	0.00008450	0.00101738	0.00011109
4:Ins:R:3	0.00015754	0.00013417	0.00004770	0.00005250	0.00000187	0.00033482	0.00000858	0.00002150	0.00000064	0.00071385	0.00030994	0.00001627
4:Ins:R:4	0.00031965	0.00024939	0.00000418	0.00014691	0.00000641	0.00005600	0.00020551	0.00000000	0.00001210	0.00166501	0.00152857	0.00043988
4:Ins:R:5	0.00100132	0.00219354	0.00003290	0.00013521	0.00063598	0.00010686	0.00088523	0.00000218	0.00000031	0.00027445	0.00000012	0.00070282
5:Ins:R:0	0.00000000	0.00000000	0.00008830	0.00008580	0.00475007	0.00871678	0.00031833	0.00016585	0.00259023	0.00271214	0.33665180	0.00047280
5:Ins:R:1	0.00144313	0.00013566	0.00065622	0.00213585	0.00479343	0.00540564	0.00976111	0.00125400	0.01350195	0.02645553	0.00843231	0.00001324
5:Ins:R:2	0.00025483	0.00000553	0.00000551	0.00022203	0.00029880	0.00132184	0.00010115	0.00010285	0.00004590	0.00048831	0.00024644	0.00005698
5:Ins:R:3	0.00023709	0.00009770	0.00003320	0.00000759	0.00016555	0.00002880	0.00007090	0.00008020	0.00004610	0.00010383	0.00173759	0.00021686
5:Ins:R:4	0.00026187	0.00000215	0.00000787	0.00002530	0.00012671	0.00004830	0.00000674	0.00005050	0.00000243	0.00015759	0.00016509	0.00001411
5:Ins:R:5	0.00011983	0.00011563	0.00000348	0.00016023	0.00062634	0.00006170	0.00019055	0.00000989	0.00004330	0.00002150	0.00000224	0.00012446
2:Del:M:1	0.00119782	0.00017555	0.00693076	0.18899749	0.02868795	0.00063287	0.00491367	0.00390097	0.00887241	0.00264093	0.00236192	0.00906527
3:Del:M:1	0.00008190	0.00000055	0.00034461	0.00703416	0.01315715	0.00099010	0.00929034	0.00301133	0.00114008	0.00157517	0.00014290	0.00239704
3:Del:M:2	0.00147959	0.00294406	0.00030285	0.04941660	0.00900421	0.00443363	0.00430269	0.00154330	0.00045031	0.00323693	0.00118844	0.00758805
4:Del:M:1	0.00008380	0.00014700	0.00007350	0.01098172	0.00873220	0.00274539	0.00580955	0.00192772	0.00127080	0.00000820	0.00123037	0.00191716
4:Del:M:2	0.00014548	0.00055061	0.00034022	0.02948388	0.00604719	0.00868271	0.00159159	0.00329745	0.00015972	0.00095049	0.00011789	0.00280550
4:Del:M:3	0.00016068	0.00069357	0.00013046	0.04886664	0.00344244	0.00477309	0.00109834	0.00254408	0.00027058	0.00223043	0.00041202	0.00149240
5:Del:M:1	0.00000082	0.00062496	0.00136963	0.00045312	0.00861707	0.07106658	0.28072426	0.00003540	0.01174078	0.00655171	0.00007270	0.00359075
5:Del:M:2	0.00000000	0.00011771	0.00175127	0.00013623	0.00785102	0.25310835	0.12361016	0.00022124	0.00705542	0.00449863	0.00069074	0.00329719
5:Del:M:3	0.00000000	0.00005670	0.00077496	0.00111224	0.00715797	0.21680603	0.04613041	0.00057091	0.00216598	0.00140449	0.00061764	0.00023289
5:Del:M:4	0.00003880	0.00046284	0.00064056	0.00365295	0.00249255	0.12048394	0.01636726	0.00044831	0.00028174	0.00010014	0.00005320	0.00015915
5:Del:M:5	0.00066512	0.00236732	0.00036297	0.00004560	0.00111237	0.09928300	0.01281488	0.00000000	0.01313191	0.00093151	0.00331746	0.00221017
