Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
WIDE01010404T	192	23	260	0	18	150	85	22	20	16
CPCT02080229T	34	293	69	25	62	29	95	38	29	6
CPCT02050363T	72	59	253	13	24	100	144	35	25	6
CPCT02040250T	30	0	114	78	46	27	85	3	13	3
CPCT02040251T	30	182	45	58	34	53	95	22	7	0
CPCT02260022T	392	0	459	70	12	96	34	27	51	14
CPCT02340090T	129	32	255	54	20	30	37	28	25	33
CPCT02450013T	27	21	82	52	54	9	87	35	4	11
CPCT02070347T	72	40	300	217	170	99	93	53	25	19
CPCT02060140T	2	42	39	85	4	41	61	13	5	6
CPCT02020720T	0	18	29	44	8	0	59	8	0	12
CPCT02230109T	418	23	669	22	29	74	136	42	97	8
DRUP01090019T	301	97	300	109	86	120	55	64	19	57
CPCT02120144T	7	1	0	168	79	28	20	0	1	8
CPCT02080240T	42	253	308	111	66	55	24	6	18	0
CPCT02130125T	43	25	99	31	93	82	52	47	18	18
CPCT02070355T	8	12	12	31	24	25	60	12	7	9
CPCT02010872T	5	13	10	58	0	26	56	22	5	12
CPCT02010878T	23	37	160	0	19	202	107	19	11	5
CPCT02090054T	765	294	972	76	109	594	62	178	428	4
CPCT02330117T	285	24	286	136	141	63	43	61	16	26
CPCT02170031T	350	52	867	0	4	25	90	39	65	68
CPCT02020765T	7	7	72	0	475	41	84	3	21	0
CPCT02010851T	2	24	14	42	21	24	119	2	3	0
CPCT02020756T	9	56	4	141	91	50	81	18	6	0
DRUP01170001T	53	22	499	0	0	330	77	0	3	0
WIDE01010617T	182	67	187	19	64	88	29	45	23	8
WIDE01010627T	3	18	32	86	39	23	17	25	8	0
CPCT02030502T	30	73	41	93	24	87	29	17	22	3
CPCT02030507T	237	13	123	18	39	40	74	20	16	9
WIDE01010595T	89	0	693	70	0	100	39	28	14	81
CPCT02040273T	0	25	114	115	47	22	42	25	23	27
CPCT02030520T	46	44	204	138	86	0	66	41	12	8
CPCT02110075T	806	10	788	71	59	112	115	37	86	8
CPCT02290050T	146	60	168	64	58	59	107	28	18	2
CPCT02290053T	2	1	57	42	22	25	77	3	6	13
CPCT02080257T	35	32	74	52	35	18	50	9	4	7
CPCT02290054T	8	47	142	106	37	1	52	14	5	10
CPCT02080256T	33	13	171	94	65	0	110	11	4	8
CPCT02030497T	126	1740	19	182	159	0	118	17	103	0
DRUP01290001T	1249	0	865	0	108	281	162	31	76	66
CPCT02070372T	5	31	20	74	21	0	74	16	12	6
CPCT02290051T	6	21	30	0	9	49	140	18	6	7
CPCT02020815T	163	6272	57	49	0	540	12	29	146	85
CPCT02040271T	12	34	15	55	79	37	147	8	15	0
CPCT02130154T	6	14	59	23	17	51	33	7	3	7
CPCT02120164T	262	1449	629	152	74	41	148	49	139	29
CPCT02020797T	3	0	22	22	24	13	72	6	14	6
DRUP01010099T	173	24	432	63	54	43	78	60	19	13
CPCT02340104T	2	20	10	124	29	12	70	26	2	1
CPCT02380018T	164	43	255	0	517	132	166	28	183	0
CPCT02340010TIII	260	5	37	0	168	9	244	2168	28	6
CPCT02060033TII	87	23	94	60	108	50	280	78	25	42
