hdp.1	hdp.2	hdp.3	hdp.4
0.00757451175824707	0.0121480600744705	0.00736722611260074	0.0110071553710977
0.00905631419370348	0.00538178397582449	0.0092985418208459	0.0622996876439804
0.0253012327615443	0.0281644441503384	0.00364442518882695	0.0154326681425795
0.0395038090088341	0.0110097631331966	0.0027058687899084	0.0150863623740943
0.0293452343952853	0.00108742134739919	0.00155040777695549	0.0049606173748085
0.0312086268344784	0.0573771745758648	0.00290780484720915	0.0129485625299253
0.0196435825378791	0.0246504704391453	0.00304977370517336	0.0131024034667761
0.00972733473552254	0.0100863533157012	0.00284774467547053	0.00559758431759892
0.0131346334663068	0.00691641246658399	0.00618145609657229	0.0139818499117346
0	0	0	0
