Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
WIDE01010301T	75	50	15	4	12	25	159	45	0	32	6	22	0	37	0	9	0
CPCT02220045T	991	57	465	80	71	292	154	103	92	0	66	0	0	74	4	14	27
CPCT02130093T	13	64	28	96	5	0	0	62	11	6	0	0	74	53	0	4	0
CPCT02030482T	46	2	33	128	100	51	0	48	0	4	73	80	0	82	0	23	68
CPCT02030477T	4	0	6	14	17	23	0	52	15	28	0	0	0	0	0	11	37
CPCT02370026T	0	15	11	10	6	20	0	8	20	0	73	0	0	0	0	5	12
WIDE01010385T	59	6	37	58	26	96	0	37	148	7	23	0	65	33	0	28	42
WIDE01010397T	0	96	8	35	4	0	26	25	7	0	51	34	0	35	4	19	5
WIDE01010414T	151	0	138	55	57	21	101	23	92	0	108	0	0	52	0	13	0
WIDE01010420T	1233	54	570	111	184	554	0	70	279	123	0	81	168	75	0	55	7
CPCT02270031T	1	65	29	10	0	0	0	107	42	0	22	30	0	18	0	10	7
CPCT02120132T	12	27	3	92	1	7	0	115	0	79	7	4	31	8	0	1	6
DRUP01010084T	51	0	78	65	63	52	0	89	16	55	0	91	121	19	130	20	49
CPCT02020741T	5	50	15	10	31	98	64	95	48	0	12	36	0	52	55	24	28
CPCT02020740T	379	112	278	64	68	47	155	197	5	0	0	39	0	42	0	7	8
CPCT02030492T	63	161	62	96	291	79	0	89	128	4	167	29	0	45	194	22	1
CPCT02070349T	0	74	81	146	63	27	0	79	0	119	34	0	193	14	0	14	0
CPCT02070348T	0	83	34	38	9	5	15	178	170	0	64	60	36	22	0	8	3
CPCT02060226T	34	85	41	55	206	62	0	79	0	12	81	70	81	76	0	22	0
CPCT02230111T	2	26	39	35	26	2	0	100	91	50	4	68	0	1	10	4	28
CPCT02080236T	1	95	22	98	35	62	0	40	72	23	47	29	0	65	0	0	19
CPCT02030498T	0	19	5	3	40	98	0	60	7	86	10	0	118	0	33	10	0
DRUP01050029T	3	100	5	17	45	25	0	34	47	18	49	0	0	49	0	4	0
CPCT02030505T	229	36	97	0	17	73	49	78	0	65	0	0	31	22	13	18	0
CPCT02120149T	0	7	20	43	66	0	25	77	62	0	40	54	0	0	92	16	16
CPCT02070358T	0	69	8	12	16	18	51	100	90	0	0	0	36	0	64	2	0
CPCT02060168T	0	86	24	70	4	3	0	37	19	7	52	0	0	40	0	3	3
CPCT02030509T	292	31	66	3	1	39	0	53	62	14	31	32	0	23	0	3	15
CPCT02210066T	553	29	83	0	22	14	0	44	37	103	87	6	0	55	0	12	16
CPCT02030495T	0	11	14	56	18	0	45	68	5	0	58	20	0	7	0	7	25
CPCT02060251T	0	0	0	1	10	21	0	24	0	15	3	0	0	21	30	0	0
CPCT02380049T	11	67	1	0	0	0	0	44	0	10	20	0	94	16	0	9	53
CPCT02300049T	0	16	27	48	7	21	0	64	0	18	60	0	0	0	0	16	0
CPCT02140079T	0	35	19	0	1	0	0	92	0	18	3	11	48	0	41	0	14
CPCT02110074T	3	130	25	62	61	28	0	43	26	29	0	104	19	60	0	10	0
CPCT02210065T	29	162	0	104	309	178	40	60	121	0	34	0	0	52	0	1	34
CPCT02120153T	35	9	35	94	65	17	0	60	122	35	76	76	0	9	0	7	0
CPCT02110078T	14	53	17	66	111	162	77	86	0	83	61	7	0	60	51	9	0
CPCT02030517T	7	145	17	115	70	0	0	122	48	36	0	39	37	0	0	89	37
CPCT02020466T	228	83	153	8	46	39	0	94	60	77	47	1	42	34	0	6	29
CPCT02070397T	0	9	24	52	4	12	0	78	26	10	67	0	21	0	0	5	0
CPCT02050203T	701	101	181	36	27	141	24	103	0	120	11	17	0	2	0	26	0
CPCT02020572T	266	86	208	140	10	0	78	200	160	118	0	0	0	13	25	27	0
CPCT02060142T	324	43	160	16	15	12	0	75	69	0	53	0	0	40	0	6	62
CPCT02230050T	707	73	179	0	137	87	102	83	255	42	130	68	0	18	0	52	0
CPCT02070222T	1	20	27	0	6	0	1	76	19	36	92	0	0	0	4	7	0
CPCT02010646T	0	71	34	102	226	0	16	85	13	0	1	29	83	0	0	15	14
CPCT02070418T	14	60	12	44	24	0	0	16	65	0	36	13	0	44	34	10	28
CPCT02080160T	691	129	183	74	29	31	154	161	0	58	115	11	0	81	0	21	0
CPCT02100112T	23	51	38	11	15	12	0	164	12	122	0	82	0	15	0	14	6
CPCT02100119T	61	131	42	62	145	67	0	60	139	4	39	92	0	55	0	23	21
CPCT02340032T	5	227	0	39	88	1	0	43	35	10	19	0	36	19	108	18	31
CPCT02020513T	5	119	0	81	4	20	9	33	0	0	24	9	0	4	0	17	0
CPCT02180025T	67	17	14	58	158	245	160	28	44	0	20	53	118	7	0	20	0
CPCT02120022T	0	24	15	0	18	62	40	20	0	0	5	18	15	21	147	7	0
CPCT02020516T	5	224	5	114	42	95	32	52	37	0	0	0	59	69	42	0	17
CPCT02060089T	0	103	18	100	115	0	9	22	39	0	0	32	0	24	0	2	48
CPCT02090018T	0	0	15	156	44	46	18	25	38	0	60	20	46	28	0	12	0
CPCT02060094T	0	13	7	76	15	5	36	23	0	36	2	0	1	20	5	17	49
CPCT02120028T	13	91	11	63	95	28	78	63	33	1	0	37	0	11	45	17	5
CPCT02090019T	600	49	295	36	36	0	92	61	122	0	141	0	0	96	0	33	0
CPCT02060105T	187	30	88	3	24	47	259	83	0	0	14	0	0	20	0	15	6
CPCT02020544T	370	3	7	19	11	21	266	50	0	100	29	0	0	38	0	12	0
CPCT02060110T	1	12	6	0	4	0	0	23	17	11	21	0	5	5	0	9	16
CPCT02030355T	19	16	6	53	3	0	0	14	0	8	0	0	147	37	20	6	2
CPCT02040127T	14	74	31	76	69	133	0	54	14	26	39	40	0	45	17	13	58
CPCT02070190T	11	149	2	0	140	31	0	42	19	50	8	41	17	20	0	2	47
CPCT02090020T	3	15	0	80	6	16	0	42	0	0	0	7	0	12	0	3	4
DRUP01020004T	0	39	8	141	6	10	1	45	0	0	0	22	0	31	0	4	0
CPCT02060120T	178	145	81	52	639	111	266	76	24	0	0	8	0	15	0	26	52
CPCT02070210T	27	166	3	152	444	101	0	136	0	61	0	0	9	0	224	79	0
CPCT02040144T	478	182	113	160	134	219	149	143	114	54	0	47	0	147	0	32	0
CPCT02040143T	11	0	20	110	48	79	0	69	0	27	0	8	0	30	0	15	0
CPCT02020593T	22	256	0	123	85	46	81	61	24	0	0	91	0	60	86	16	23
CPCT02180005T	15	204	5	123	94	13	0	60	110	27	0	5	0	66	0	11	15
CPCT02030299T	253	0	265	0	22	32	148	53	17	12	0	0	99	39	128	28	15
CPCT02020420T	2	81	34	55	8	30	0	51	0	7	0	19	0	94	0	7	0
CPCT02030303T	335	13	263	50	9	33	24	56	39	0	49	9	80	16	0	10	0
CPCT02070058T	291	29	300	6	29	0	111	53	31	56	0	15	0	21	114	13	0
CPCT02040050T	189	0	60	62	10	46	0	27	18	50	18	0	27	26	0	15	0
CPCT02020434T	29	109	25	28	42	72	0	42	106	2	13	49	0	40	72	14	17
CPCT02220006T	0	96	8	172	12	0	0	23	206	0	0	0	285	62	0	9	0
DRUP01140003T	0	129	15	67	1	8	15	24	9	0	44	8	0	24	0	4	16
CPCT02020459T	251	0	131	14	13	12	0	71	53	55	0	43	65	0	0	14	17
CPCT02330021T	5	77	5	100	67	0	0	17	0	26	30	10	18	53	39	4	0
CPCT02110016T	18	3	0	7	2	32	3	20	3	0	29	1	0	0	0	11	32
CPCT02330023T	19	41	16	22	4	14	0	24	0	21	0	11	89	0	0	3	0
CPCT02040095T	13	93	0	44	101	30	65	38	51	0	8	120	83	47	0	23	0
CPCT02160017T	590	125	171	21	64	43	277	99	213	72	0	33	0	108	0	48	0
CPCT02080093T	4	94	8	61	45	0	0	22	37	19	0	17	0	0	0	26	0
CPCT02060088T	0	9	0	39	12	13	0	10	0	17	20	0	0	10	21	10	1
CPCT02290021T	97	87	29	16	80	0	82	92	47	0	0	101	64	45	0	3	0
CPCT02340042T	16	121	33	154	92	82	0	80	0	0	0	58	15	19	111	15	9
CPCT02040192T	219	59	67	0	29	96	39	57	14	0	0	26	0	56	0	17	12
CPCT02300026T	22	119	16	48	29	58	0	95	242	83	5	0	0	17	0	31	36
CPCT02450007T	645	26	136	155	53	66	8	58	50	49	0	49	0	12	0	34	0
CPCT02170020T	369	0	100	3	41	134	18	89	23	0	64	17	0	43	46	7	34
CPCT02030440T	30	69	24	45	53	95	0	92	52	0	102	23	101	11	0	7	10
CPCT02190003T	858	130	145	123	293	0	219	57	139	51	0	12	0	51	0	4	20
WIDE01010536T	1	36	2	48	4	3	17	20	4	0	0	0	0	6	0	8	20
WIDE01010554T	4	32	9	19	0	14	13	18	2	0	0	20	17	21	86	20	1
