cluster_id	size	retained	medoid	min_cos_sim	mean_cos_sim	max_cos_sim	members
66	2	FALSE	C.H.Esophagus.5	0.9766	0.9766	0.9766	C.H.Esophagus.5; C.H.MSI.15
67	1	FALSE	C.H.Esophagus.8	NA	NA	NA	C.H.Esophagus.8
68	2	FALSE	C.H.Head.6	0.9554	0.9554	0.9554	C.H.Head.6; C.H.Liver.2
69	1	FALSE	C.H.Liver.1	NA	NA	NA	C.H.Liver.1
70	5	TRUE	C.PH.Lung.9	0.9912	0.9961	0.9999	C.H.Lung.9; C.H.MSI.14; C.PH.Breast.16; C.PH.Lung.9; C.PH.MSI.19
71	1	FALSE	C.H.Lung.12	NA	NA	NA	C.H.Lung.12
72	1	FALSE	C.H.Lymphoid.1	NA	NA	NA	C.H.Lymphoid.1
73	1	FALSE	C.H.Lymphoid.2	NA	NA	NA	C.H.Lymphoid.2
74	1	FALSE	C.H.Lymphoid.3	NA	NA	NA	C.H.Lymphoid.3
75	3	TRUE	C.PH.MSI.16	0.9574	0.9718	0.9958	C.H.MSI.13; C.PH.Colon.21; C.PH.MSI.16
76	2	FALSE	C.H.Other.10	0.9997	0.9997	0.9997	C.H.Other.10; C.PH.Other.10
77	2	FALSE	C.H.Other.11	0.9991	0.9991	0.9991	C.H.Other.11; C.PH.Other.11
78	1	FALSE	C.H.Other.12	NA	NA	NA	C.H.Other.12
79	1	FALSE	C.H.Ovary.3	NA	NA	NA	C.H.Ovary.3
80	3	TRUE	C.PH.Prostate.13	0.9704	0.9801	0.9984	C.H.Prostate.5; C.PH.Lymphoid.2; C.PH.Prostate.13
81	2	FALSE	C.H.Prostate.7	0.9973	0.9973	0.9973	C.H.Prostate.7; C.PH.Prostate.4
82	1	FALSE	C.H.Prostate.11	NA	NA	NA	C.H.Prostate.11
83	2	FALSE	C.H.Thymus.1	0.9941	0.9941	0.9941	C.H.Thymus.1; C.PH.Thymus.2
84	1	FALSE	C.H.Thymus.2	NA	NA	NA	C.H.Thymus.2
85	1	FALSE	C.H.Uterus.3	NA	NA	NA	C.H.Uterus.3
86	7	TRUE	C.PH.Skin.7	0.9618	0.9786	1	C.H.Uterus.5; C.P.Kidney.1; C.P.Liver.2; C.P.Pancreas.5; C.P.Skin.3; C.PH.Liver.3; C.PH.Skin.7
87	6	TRUE	C.P.All.2	0.9904	0.9954	1	C.P.All.2; C.P.Liver.3; C.P.Other.18; C.P.Thymus.18; C.PH.All.31; C.PH.Liver.1
88	6	TRUE	C.P.All.3	0.9959	0.9975	1	C.P.All.3; C.P.Other.9; C.P.Skin.1; C.P.Thymus.9; C.PH.All.7; C.PH.Skin.2
89	5	TRUE	C.P.Other.12	0.9878	0.9955	1	C.P.All.7; C.P.Other.12; C.P.Skin.2; C.P.Thymus.12; C.PH.Skin.6
90	2	FALSE	C.P.All.9	0.9894	0.9894	0.9894	C.P.All.9; C.PH.MSI.5
91	7	TRUE	C.P.All.10	0.9989	0.9995	1	C.P.All.10; C.P.MSI.2; C.P.Other.19; C.P.Pancreas.3; C.P.Thymus.19; C.PH.MSI.3; C.PH.Pancreas.4
92	5	TRUE	C.P.All.11	0.9616	0.9808	1	C.P.All.11; C.P.Other.24; C.P.Thymus.24; C.PH.All.38; C.PH.Lung.8
93	8	TRUE	C.P.Other.13	0.981	0.9933	1	C.P.All.12; C.P.Colon.2; C.P.MSI.7; C.P.Other.13; C.P.Thymus.13; C.PH.All.15; C.PH.Colon.5; C.PH.MSI.6
94	5	TRUE	C.P.All.13	0.9736	0.9876	1	C.P.All.13; C.P.Other.17; C.P.Thymus.17; C.PH.All.21; C.PH.Bone.SoftTissue.6
95	6	TRUE	C.P.Other.8	0.9868	0.9945	1	C.P.All.17; C.P.Other.8; C.P.Prostate.3; C.P.Thymus.8; C.PH.All.20; C.PH.Prostate.6
96	3	TRUE	C.P.Other.20	0.9925	0.995	1	C.P.All.19; C.P.Other.20; C.P.Thymus.20
97	5	TRUE	C.P.Other.25	0.9899	0.9968	1	C.P.All.20; C.P.Other.25; C.P.Prostate.6; C.P.Thymus.25; C.PH.Prostate.12
98	7	TRUE	C.P.Other.6	0.9678	0.9806	1	C.P.All.21; C.P.Colon.4; C.P.MSI.6; C.P.Other.6; C.P.Thymus.6; C.PH.Colon.16; C.PH.MSI.10
99	2	FALSE	C.P.All.22	0.9877	0.9877	0.9877	C.P.All.22; C.PH.All.39
100	4	TRUE	C.P.Other.10	0.9713	0.986	1	C.P.All.23; C.P.Other.10; C.P.Thymus.10; C.PH.Lymphoid.1
101	1	FALSE	C.P.Biliary.2	NA	NA	NA	C.P.Biliary.2
102	1	FALSE	C.P.Biliary.4	NA	NA	NA	C.P.Biliary.4
103	2	FALSE	C.P.Bladder.1	0.9612	0.9612	0.9612	C.P.Bladder.1; C.PH.Bladder.5
104	4	TRUE	C.P.Head.3	0.9527	0.962	0.9756	C.P.Bladder.2; C.P.Breast.4; C.P.Head.3; C.PH.Head.2
105	3	TRUE	C.PH.Ovary.1	0.9643	0.9753	0.9932	C.P.Bone.SoftTissue.1; C.P.Ovary.3; C.PH.Ovary.1
106	1	FALSE	C.P.Bone.SoftTissue.2	NA	NA	NA	C.P.Bone.SoftTissue.2
107	1	FALSE	C.P.Breast.2	NA	NA	NA	C.P.Breast.2
108	3	TRUE	C.PH.Pancreas.6	0.972	0.9813	0.9989	C.P.Breast.3; C.P.Pancreas.4; C.PH.Pancreas.6
109	2	FALSE	C.P.CNS.3	0.9931	0.9931	0.9931	C.P.CNS.3; C.PH.CNS.4
110	2	FALSE	C.P.CNS.5	1	1	1	C.P.CNS.5; C.PH.CNS.9
111	2	FALSE	C.P.Colon.5	0.9817	0.9817	0.9817	C.P.Colon.5; C.PH.Colon.1
112	4	TRUE	C.P.Colon.6	0.9836	0.9895	1	C.P.Colon.6; C.P.Other.3; C.P.Thymus.3; C.PH.Colon.4
113	1	FALSE	C.P.Colon.7	NA	NA	NA	C.P.Colon.7
114	1	FALSE	C.P.Colon.8	NA	NA	NA	C.P.Colon.8
115	8	TRUE	C.PH.All.2	0.9689	0.9822	0.9986	C.P.Esophagus.3; C.P.Liver.1; C.P.Pancreas.1; C.P.Prostate.1; C.PH.All.2; C.PH.Esophagus.4; C.PH.Liver.2; C.PH.Pancreas.1
116	1	FALSE	C.P.Head.4	NA	NA	NA	C.P.Head.4
117	1	FALSE	C.P.Kidney.3	NA	NA	NA	C.P.Kidney.3
118	1	FALSE	C.P.Liver.5	NA	NA	NA	C.P.Liver.5
119	1	FALSE	C.P.Lung.3	NA	NA	NA	C.P.Lung.3
120	2	FALSE	C.P.Lymphoid.1	0.9711	0.9711	0.9711	C.P.Lymphoid.1; C.P.Stomach.4
121	2	FALSE	C.P.Lymphoid.2	0.9948	0.9948	0.9948	C.P.Lymphoid.2; C.PH.Lymphoid.3
122	5	TRUE	C.P.Other.7	0.9639	0.9853	1	C.P.MSI.3; C.P.Other.7; C.P.Thymus.7; C.P.Uterus.2; C.PH.Uterus.1
123	5	TRUE	C.P.Ovary.2	0.9862	0.9922	0.9991	C.P.MSI.5; C.P.Ovary.2; C.P.Uterus.4; C.PH.Ovary.4; C.PH.Uterus.5
124	1	FALSE	C.P.MSI.8	NA	NA	NA	C.P.MSI.8
125	2	FALSE	C.P.Myeloid.1	0.9946	0.9946	0.9946	C.P.Myeloid.1; C.PH.Myeloid.1
126	2	FALSE	C.P.Myeloid.2	0.9999	0.9999	0.9999	C.P.Myeloid.2; C.PH.Myeloid.2
127	2	FALSE	C.P.Other.22	1	1	1	C.P.Other.22; C.P.Thymus.22
128	1	FALSE	C.P.Pancreas.6	NA	NA	NA	C.P.Pancreas.6
129	1	FALSE	C.P.Prostate.4	NA	NA	NA	C.P.Prostate.4
130	2	FALSE	C.P.Prostate.5	0.9754	0.9754	0.9754	C.P.Prostate.5; C.PH.Prostate.9
131	1	FALSE	C.P.Prostate.7	NA	NA	NA	C.P.Prostate.7
132	1	FALSE	C.P.Skin.4	NA	NA	NA	C.P.Skin.4
133	1	FALSE	C.P.Skin.5	NA	NA	NA	C.P.Skin.5
134	1	FALSE	C.P.Skin.6	NA	NA	NA	C.P.Skin.6
135	2	FALSE	C.PH.Stomach.6	0.9888	0.9888	0.9888	C.P.Stomach.5; C.PH.Stomach.6
136	1	FALSE	C.P.Stomach.6	NA	NA	NA	C.P.Stomach.6
137	1	FALSE	C.P.Stomach.7	NA	NA	NA	C.P.Stomach.7
138	2	FALSE	C.P.Uterus.1	0.9978	0.9978	0.9978	C.P.Uterus.1; C.PH.Uterus.8
139	3	TRUE	C.P.Uterus.5	0.9648	0.9726	0.9821	C.P.Uterus.5; C.PH.Esophagus.6; C.PH.Uterus.6
140	2	FALSE	C.P.Uterus.7	0.9937	0.9937	0.9937	C.P.Uterus.7; C.PH.Uterus.9
141	1	FALSE	C.PH.All.13	NA	NA	NA	C.PH.All.13
142	1	FALSE	C.PH.All.26	NA	NA	NA	C.PH.All.26
143	3	TRUE	C.PH.All.30	0.9738	0.9854	0.9913	C.PH.All.30; C.PH.MSI.15; C.PH.Skin.3
144	1	FALSE	C.PH.All.35	NA	NA	NA	C.PH.All.35
145	1	FALSE	C.PH.All.36	NA	NA	NA	C.PH.All.36
146	8	TRUE	C.PH.Ovary.2	0.9615	0.9756	0.9896	C.PH.Biliary.2; C.PH.CNS.7; C.PH.Head.7; C.PH.Kidney.1; C.PH.Ovary.2; C.PH.Pancreas.3; C.PH.Skin.4; C.PH.Uterus.7
147	1	FALSE	C.PH.Biliary.5	NA	NA	NA	C.PH.Biliary.5
148	1	FALSE	C.PH.Biliary.6	NA	NA	NA	C.PH.Biliary.6
149	1	FALSE	C.PH.Colon.8	NA	NA	NA	C.PH.Colon.8
150	1	FALSE	C.PH.Colon.17	NA	NA	NA	C.PH.Colon.17
151	1	FALSE	C.PH.Colon.19	NA	NA	NA	C.PH.Colon.19
152	1	FALSE	C.PH.Esophagus.5	NA	NA	NA	C.PH.Esophagus.5
153	1	FALSE	C.PH.Esophagus.10	NA	NA	NA	C.PH.Esophagus.10
154	2	FALSE	C.PH.Liver.5	0.9587	0.9587	0.9587	C.PH.Liver.5; C.PH.Lymphoid.5
155	1	FALSE	C.PH.Lymphoid.4	NA	NA	NA	C.PH.Lymphoid.4
156	1	FALSE	C.PH.MSI.17	NA	NA	NA	C.PH.MSI.17
157	1	FALSE	C.PH.Pancreas.7	NA	NA	NA	C.PH.Pancreas.7
158	1	FALSE	C.PH.Prostate.10	NA	NA	NA	C.PH.Prostate.10
159	1	FALSE	C.PH.Prostate.14	NA	NA	NA	C.PH.Prostate.14
160	1	FALSE	C.PH.Skin.9	NA	NA	NA	C.PH.Skin.9
161	1	FALSE	C.PH.Skin.12	NA	NA	NA	C.PH.Skin.12
162	1	FALSE	C.PH.Stomach.5	NA	NA	NA	C.PH.Stomach.5
163	1	FALSE	C.PH.Stomach.7	NA	NA	NA	C.PH.Stomach.7
164	1	FALSE	C.PH.Thymus.1	NA	NA	NA	C.PH.Thymus.1
